file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,22
style.css,2,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,15
style.css,3,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,17
style.css,4,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,5,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,2
style.css,6,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,14
style.css,7,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,8,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,9,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,5
style.css,10,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,23
style.css,11,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,32
style.css,12,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,13,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,14,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,3
style.css,15,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,14
style.css,16,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,50
style.css,17,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,18,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,19,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,4
style.css,20,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,23
style.css,21,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,15
style.css,22,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,18
style.css,23,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,15
style.css,24,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,32
style.css,25,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,26,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,27,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,4
style.css,28,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,7
style.css,29,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,6
style.css,30,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,12
style.css,31,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,32,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,33,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,4
style.css,34,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,12
style.css,35,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,30
style.css,36,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,7
style.css,37,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,38,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,39,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,40,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,5
style.css,41,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,12
style.css,42,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,29
style.css,43,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,18
style.css,44,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,45,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,46,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,7
style.css,47,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,6
style.css,48,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,18
style.css,49,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,50,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,0
style.css,51,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,0,6
style.css,52,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,19
style.css,53,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,17
style.css,54,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,36
style.css,55,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,11
style.css,56,css,596fed6,Brian Jing,2025-11-07,11:08:35,-08:00,2025-11-07T11:08:35-08:00,1,11
